"id","team","wiki","region","country","track","kind","section","application","isRemote","year"
2702,"Aachen","https://2018.igem.org/Team:Aachen","europe","DEU","Diagnostics","collegiate","overgrad","accepted",false,2018
2647,"Aalto-Helsinki","https://2018.igem.org/Team:Aalto-Helsinki","europe","FIN","New Application","collegiate","overgrad","accepted",false,2018
2867,"Acalanes_CA_Laf","https://2018.igem.org/Team:Acalanes_CA_Laf","north-america","USA","High School","high-school","high-school","withdrawn",false,2018
2815,"ACIBADEM_ISTANBUL","https://2018.igem.org/Team:ACIBADEM_ISTANBUL","asia","TUR","Therapeutics","collegiate","undergrad","accepted",false,2018
2534,"AFCM-Egypt","https://2018.igem.org/Team:AFCM-Egypt","africa","EGY","Therapeutics","collegiate","overgrad","accepted",false,2018
2547,"AHUT_China","https://2018.igem.org/Team:AHUT_China","asia","CHN","Environment","collegiate","undergrad","accepted",false,2018
2718,"Aix-Marseille","https://2018.igem.org/Team:Aix-Marseille","europe","FRA","Therapeutics","collegiate","overgrad","accepted",false,2018
2562,"ASIJ_Tokyo","https://2018.igem.org/Team:ASIJ_Tokyo","asia","JPN","High School","high-school","high-school","accepted",false,2018
2826,"ASTWS-China","https://2018.igem.org/Team:ASTWS-China","asia","CHN","High School","high-school","high-school","accepted",false,2018
2709,"Athens","https://2018.igem.org/Team:Athens","europe","GRC","Diagnostics","collegiate","undergrad","accepted",false,2018
2642,"Auckland_MOD","https://2018.igem.org/Team:Auckland_MOD","asia","NZL","Environment","collegiate","undergrad","accepted",false,2018
2877,"Austin_LASA","https://2018.igem.org/Team:Austin_LASA","north-america","USA","High School","high-school","high-school","accepted",false,2018
2657,"Austin_UTexas","https://2018.igem.org/Team:Austin_UTexas","north-america","USA","Foundational Advance","collegiate","undergrad","accepted",false,2018
2893,"Baltimore_BioCrew","https://2018.igem.org/Team:Baltimore_BioCrew","north-america","USA","High School","high-school","high-school","accepted",false,2018
2864,"Bay_Area_CA","https://2018.igem.org/Team:Bay_Area_CA","north-america","USA","High School","high-school","high-school","withdrawn",false,2018
2894,"Bay_Area_Genomics_CA","https://2018.igem.org/Team:Bay_Area_Genomics_CA","north-america","USA",,"community-lab","collegiate","withdrawn",false,2018
2567,"BCU","https://2018.igem.org/Team:BCU","asia","CHN","Environment","collegiate","undergrad","accepted",false,2018
2555,"BFSUICC-China","https://2018.igem.org/Team:BFSUICC-China","asia","CHN","High School","high-school","high-school","accepted",false,2018
2728,"BGIC-Global","https://2018.igem.org/Team:BGIC-Global","asia","CHN","High School","high-school","high-school","accepted",false,2018
2538,"BGU_Israel","https://2018.igem.org/Team:BGU_Israel","asia","ISR","Therapeutics","collegiate","overgrad","accepted",false,2018
